iter	Passed	Remaining
763	1293	399
764	1294	397
765	1295	395
766	1296	393
767	1298	392
768	1299	390
769	1301	388
770	1302	386
771	1303	384
772	1304	383
773	1306	381
774	1307	379
775	1308	377
776	1310	375
777	1311	374
778	1313	372
779	1315	371
780	1317	369
781	1319	367
782	1321	366
783	1322	364
784	1325	362
785	1327	361
786	1330	359
787	1331	358
788	1332	356
789	1334	354
790	1336	353
791	1339	351
792	1341	350
793	1343	348
794	1345	346
795	1347	345
796	1350	343
797	1351	342
798	1353	340
799	1354	338
800	1356	336
801	1357	335
802	1358	333
803	1360	331
804	1362	329
805	1363	328
806	1365	326
807	1367	324
808	1369	323
809	1371	321
810	1372	319
811	1373	318
812	1375	316
813	1376	314
814	1377	312
815	1378	310
816	1379	309
817	1380	307
818	1382	305
819	1383	303
820	1385	301
821	1386	300
822	1387	298
823	1389	296
824	1392	295
825	1393	293
826	1395	291
827	1397	290
828	1400	288
829	1402	287
830	1404	285
831	1406	283
832	1408	282
833	1409	280
834	1411	278
835	1412	277
836	1413	275
837	1414	273
838	1416	271
839	1418	270
840	1419	268
841	1420	266
842	1421	264
843	1422	263
844	1424	261
845	1425	259
846	1426	257
847	1427	255
848	1428	254
849	1430	252
850	1431	250
851	1432	248
852	1433	247
853	1435	245
854	1436	243
855	1437	241
856	1438	240
857	1439	238
858	1441	236
859	1442	234
860	1444	233
861	1445	231
862	1446	229
863	1448	227
864	1449	226
865	1451	224
866	1453	222
867	1454	221
868	1455	219
869	1457	217
870	1458	215
871	1461	214
872	1462	212
873	1464	211
874	1466	209
875	1468	207
876	1470	206
877	1471	204
878	1473	202
879	1474	201
880	1475	199
881	1476	197
882	1477	195
883	1479	194
884	1480	192
885	1481	190
886	1482	188
887	1484	187
888	1485	185
889	1486	183
890	1487	182
891	1489	180
892	1490	178
893	1491	176
894	1492	175
895	1494	173
896	1495	171
897	1496	169
898	1497	168
899	1499	166
900	1501	164
901	1503	163
902	1506	161
903	1508	160
904	1509	158
905	1511	156
906	1512	155
907	1513	153
908	1514	151
909	1515	149
910	1517	148
911	1519	146
912	1521	145
913	1523	143
914	1525	141
915	1527	140
916	1529	138
917	1530	136
918	1531	134
919	1534	133
920	1536	131
921	1538	130
922	1540	128
923	1541	126
924	1543	125
925	1545	123
926	1547	121
927	1549	120
928	1550	118
929	1551	116
930	1552	115
931	1554	113
932	1555	111
933	1556	110
934	1557	108
935	1559	106
936	1561	104
937	1562	103
938	1563	101
939	1565	99
940	1566	98
941	1567	96
942	1568	94
943	1570	93
944	1571	91
945	1573	89
946	1574	88
947	1575	86
948	1576	84
949	1577	83
950	1579	81
951	1580	79
952	1581	77
953	1582	76
954	1584	74
955	1586	73
956	1587	71
957	1589	69
958	1591	68
959	1594	66
960	1595	64
961	1596	63
962	1598	61
963	1600	59
964	1602	58
965	1605	56
966	1606	54
967	1608	53
968	1609	51
969	1610	49
970	1612	48
971	1613	46
972	1614	44
973	1616	43
974	1618	41
975	1619	39
976	1620	38
977	1622	36
978	1623	34
979	1624	33
980	1625	31
981	1627	29
982	1628	28
983	1629	26
984	1632	24
985	1634	23
986	1636	21
987	1638	19
988	1640	18
989	1643	16
990	1644	14
991	1645	13
992	1647	11
993	1649	9
994	1651	8
995	1653	6
996	1654	4
997	1655	3
998	1656	1
999	1658	0
